Default Dataset,,Red DS,
X,Y,X,Y
5574.908011157281,5.313381789854612e-17,5483.3512192178205,1.1111885909338802e-17
5574.941209217495,5.237467121601622e-17,5494.797732532921,1.0169730651556164e-17
5574.974407277709,5.1615524533486315e-17,5509.0223109046965,9.6726703237092e-18
5576.513967320143,5.0856377850956415e-17,5678.863586960487,1.1418707693527974e-17
5576.547165380356,5.009723116842651e-17,5689.644311201918,1.2906951502404308e-17
5576.580363440571,4.933808448589661e-17,5686.668819784179,1.2055547410539173e-17
5576.613561500785,4.857893780336671e-17,5688.102330467595,1.3721452630535342e-17
5576.646759560999,4.78197911208368e-17,5699.961507527608,1.1216268578186668e-17
5576.679957621213,4.70606444383069e-17,5698.710493958536,1.2266421489019706e-17
5576.713155681427,4.6301497755777e-17,5704.810637522894,1.0558341453327415e-17
5576.7463537416415,4.554235107324709e-17,5764.316316120149,1.2371858528259966e-17
5576.779551801856,4.478320439071719e-17,5769.663601452316,1.563197178156894e-17
5576.81274986207,4.402405770818729e-17,5769.404841016312,1.4659842279773693e-17
5576.845947922284,4.326491102565739e-17,5769.135198993907,1.3936544190585488e-17
5576.879145982499,4.250576434312749e-17,5770.967916351397,1.336296669711844e-17
5576.912344042713,4.174661766059758e-17,5770.783482683541,1.7580448266729018e-17
5576.945542102927,4.098747097806768e-17,5769.320001529099,1.6599883801794558e-17
5570.9366932041585,4.0607897636802734e-17,5782.678416820911,1.253528593908237e-17
5576.320311968893,5.5284733499047513e-17,5779.332674814948,1.1538905918261875e-17
5584.949041119564,3.0201261863788644e-17,5787.329949195297,1.4290812642432776e-17
5585.921928717508,1.9436140157357665e-17,5788.039096648205,1.3384054104966507e-17
5585.462227800375,1.8466119396347233e-17,5791.290969601963,1.5570115385214638e-17
5586.054720958365,1.6399553427238053e-17,5791.0046582890045,1.7743122555842574e-17
5587.106915033486,1.5303008219139306e-17,5791.910174902847,1.672008202652847e-17
5587.140113093701,1.4543861536609406e-17,5785.907965616122,1.6188679348757533e-17
5587.173311153914,1.3784714854079506e-17,5798.715777246756,1.265864727499349e-17
5587.206509214129,1.3025568171549606e-17,5799.537152586556,1.4543861536609406e-17
5587.239707274343,1.2266421489019706e-17,5799.570350646769,1.3784714854079506e-17
5587.272905334557,1.1507274806489793e-17,5804.181192343184,1.1686517773198244e-17
5587.305181226432,1.0769215531807948e-17,5844.5213541282865,1.238029349139918e-17
5586.542548009846,2.8208501822147655e-17,5851.452002499002,1.4227550418888613e-17
5586.57574607006,2.7449355139617755e-17,5850.514157297951,1.3126787729220252e-17
5586.608944130274,2.6690208457087855e-17,5850.716112164255,1.539790155445555e-17
5586.642142190488,2.5931061774557943e-17,5859.873243773334,1.2677625942056731e-17
5586.675340250702,2.5171915092028043e-17,5861.347790947849,1.340514151281455e-17
5586.708538310916,2.4412768409498143e-17,5882.901078240908,1.6568252690022477e-17
5586.74173637113,2.3653621726968243e-17,5882.342797528305,1.5556057113315947e-17
5586.774934431344,2.289447504443833e-17,5882.37599558852,1.4796910430786047e-17
5586.808132491558,2.213532836190843e-17,5882.409193648734,1.4037763748256135e-17
5586.841330551773,2.137618167937853e-17,5882.434092193895,1.3468403736358713e-17
5586.874528611987,2.061703499684863e-17,5890.299265959639,2.1502706126466845e-17
5587.007320852844,1.7580448266729018e-17,5889.361974059591,2.038929099208967e-17
5594.657892872205,9.943794138898444e-18,5889.394618818802,1.9642796754268585e-17
5612.9562157519285,9.788651066873488e-18,5888.224387196252,1.884569273761219e-17
5620.494941925568,9.630495508013092e-18,5888.257585256466,1.808654605508229e-17
5637.065384814145,9.619951804089077e-18,5889.289491628124,1.7453923819640703e-17
5656.218162529382,9.609408100165037e-18,5891.654546028938,2.4609584216079973e-17
5669.524261235231,1.04318170062391e-17,5892.538751771588,2.3527097279879916e-17
5712.3558188749075,1.0252574039530662e-17,5892.571949831802,2.2767950597350016e-17
5730.442306513265,1.0020612553202075e-17,5892.59961488198,2.213532836190843e-17
5748.515422710703,1.0094418480670266e-17,5892.391204837302,2.6901082535568376e-17
5760.224286331414,1.1026481907554203e-17,5892.43362458091,2.5931061774557943e-17
5814.739097659636,1.1380750359401479e-17,5887.93113766436,2.5551488433293e-17
5831.289713928918,1.1823585924210586e-17,5900.17568887336,2.11231327852019e-17
5869.5638497666905,1.4981425249456506e-17,5900.208886933575,2.036398610267199e-17
5868.553429917338,1.3974501524711984e-17,5901.756746491061,1.941505274950961e-17
5868.757874638157,1.6188679348757533e-17,5901.789944551275,1.865590606697971e-17
5870.392879103706,1.3246985953954153e-17,5901.823142611489,1.789675938444981e-17
5917.673833111256,1.5556057113315947e-17,5901.856340671704,1.713761270191991e-17
5924.543065070575,1.5049959324962676e-17,5901.889538731918,1.637846601939001e-17
5933.507924580915,1.6726408248882873e-17,5903.425410100994,1.5703668968252304e-17
5933.54748560267,1.5821758452201417e-17,5907.977233023695,1.4955065989646444e-17
5943.627031462591,1.4972638829519822e-17,6069.904091524423,1.1671756587704603e-17
5954.649279276816,1.553075222389828e-17,6076.811962337159,1.2160984449779433e-17
5959.511135195184,1.45818188707359e-17,6087.379089337002,1.1644342957502147e-17
5966.346536750285,1.3775677393573198e-17,6092.137939051872,1.3050873060967273e-17
5963.795160432157,1.3067742987245715e-17,6097.521004515604,1.3961849080003144e-17
5976.984934188922,1.45818188707359e-17,6103.316002576492,1.463875487192565e-17
5982.596097991374,1.3721452630535342e-17,6113.660518139233,1.691619491951535e-17
