Wavelength (A),Sky (erg/s/cm^2/A/arcsec^2)
7277.559334,3.57E-17
7277.56874,4.23E-17
7277.664646,4.02E-17
7277.728736,3.87E-17
7277.761934,3.79E-17
7277.892421,3.49E-17
7277.925619,3.42E-17
7277.958817,3.34E-17
7277.992015,3.27E-17
7278.025213,3.19E-17
7278.058412,3.12E-17
7278.090226,3.04E-17
7278.127298,2.96E-17
7278.160772,2.88E-17
7278.19397,2.81E-17
7278.227168,2.73E-17
7278.260366,2.65E-17
7278.293564,2.58E-17
7278.300757,4.63E-17
7278.326071,2.50E-17
7278.386242,2.37E-17
7288.287564,2.11E-17
7288.477069,3.40E-17
7288.510268,3.33E-17
7288.543466,3.25E-17
7288.576664,3.18E-17
7288.609862,3.10E-17
7288.64306,3.02E-17
7288.673491,2.95E-17
7288.709456,2.87E-17
7288.742654,2.80E-17
7288.775852,2.72E-17
7288.80905,2.64E-17
7288.842248,2.57E-17
7288.875446,2.49E-17
7289.00455,2.20E-17
7289.562093,2.30E-17
7290.415006,2.42E-17
7292.846073,2.02E-17
7295.243019,1.71E-17
7295.575921,1.93E-17
7296.720563,1.78E-17
7300.769442,1.87E-17
7308.590944,2.19E-17
7308.624142,2.11E-17
7308.65734,2.04E-17
7308.690538,1.96E-17
7310.003245,2.40E-17
7310.036443,2.33E-17
7310.067797,2.26E-17
7312.847904,2.79E-17
7312.881793,2.71E-17
7312.914992,2.63E-17
7312.94819,2.56E-17
7312.980004,2.49E-17
7313.985352,2.94E-17
7314.017997,2.87E-17
7314.195883,3.15E-17
7314.926115,3.05E-17
7315.639169,3.29E-17
7315.672367,3.22E-17
7316.063551,3.70E-17
7316.262309,3.40E-17
7317.016335,3.59E-17
7317.049533,3.51E-17
7327.940526,2.72E-17
7329.579035,2.42E-17
7329.612233,2.34E-17
7329.865961,2.26E-17
7330.926322,2.78E-17
7331.022597,2.56E-17
7331.053582,2.49E-17
7331.644922,2.86E-17
7331.990781,2.65E-17
7332.860386,2.95E-17
7337.93222,3.30E-17
7337.965418,3.22E-17
7337.998616,3.14E-17
7338.031814,3.07E-17
7338.87097,3.40E-17
7339.477589,3.90E-17
7339.545092,3.74E-17
7339.57829,3.67E-17
7339.611488,3.59E-17
7339.644686,3.51E-17
7339.870433,3.00E-17
7340.098824,4.01E-17
7340.51134,3.83E-17
7340.851159,4.20E-17
7340.885741,4.12E-17
7345.221546,2.82E-17
7345.936457,2.91E-17
7348.748148,3.36E-17
7348.781346,3.29E-17
7348.814544,3.21E-17
7351.434977,2.73E-17
7352.072795,2.65E-17
7352.107376,2.57E-17
7352.141266,2.50E-17
7352.43221,1.83E-17
7353.377617,2.42E-17
7353.410815,2.35E-17
7353.444013,2.27E-17
7354.678428,2.20E-17
7354.815093,1.89E-17
7354.922065,3.03E-17
7355.346816,2.05E-17
7355.378907,1.98E-17
7356.390618,3.11E-17
7356.816199,2.14E-17
7357.962454,2.96E-17
7368.580761,2.79E-17
7369.040769,2.89E-17
7369.59653,2.54E-17
7369.927588,3.16E-17
7369.960786,3.08E-17
7370.16643,2.61E-17
7370.836477,2.46E-17
7371.130096,2.70E-17
7371.504035,3.00E-17
7373.280131,2.38E-17
7373.313329,2.31E-17
7373.346527,2.23E-17
7375.680766,2.06E-17
7376.395677,2.15E-17
7382.499509,1.97E-17
7382.532707,1.89E-17
7382.565905,1.81E-17
7382.599103,1.74E-17
7382.825957,1.22E-17
7383.16347,1.43E-17
7383.835731,1.67E-17
7384.172783,1.59E-17
7384.205982,1.51E-17
7384.271455,1.36E-17
7385.212344,1.27E-17
7400.449147,2.26E-17
7400.838671,2.35E-17
7401.474967,1.63E-17
7401.778492,2.17E-17
7401.865505,2.46E-17
7402.094664,1.94E-17
7402.126479,1.87E-17
7402.327604,2.09E-17
7402.360802,2.02E-17
7403.665117,1.79E-17
7403.698315,1.72E-17
7411.299518,1.56E-17
7412.695911,1.81E-17
7412.729109,1.73E-17
7412.762307,1.66E-17
7412.848069,1.46E-17
7412.887722,1.37E-17
7414.732612,1.28E-17
