Wavelength (A),Transmittance
6520,0.978390122
6525,0.97839798
6530,0.978370743
6535,0.978292999
6540,0.977889557
6545,0.977628098
6550,0.977151871
6555,0.97679451
6560,0.976114655
6565,0.975354919
6570,0.974597855
6575,0.973812027
6580,0.972950516
6585,0.971938171
6590,0.970936508
6595,0.969784622
6600,0.968597565
6605,0.967521896
6610,0.966429749
6615,0.965263672
6620,0.964142914
6625,0.96310112
6630,0.962189484
6635,0.961455383
6640,0.960743485
6645,0.960189514
6650,0.959953308
6655,0.959916382
6660,0.96013649
6665,0.960484848
6670,0.961152344
6675,0.962201691
6680,0.963473892
6685,0.965068817
6690,0.966918793
6695,0.968943329
6700,0.971272049
6705,0.973699722
6710,0.97626152
6715,0.978768463
6720,0.980973053
6725,0.982868042
6730,0.984667282
6735,0.985338364
6740,0.985110474
6745,0.983553848
6750,0.98027565
6755,0.975101547
6760,0.967538452
6765,0.957169266
6770,0.944034958
6775,0.927211456
6780,0.90656868
6785,0.88292244
6790,0.85499527
6795,0.823294678
6800,0.788977509
6805,0.751266556
6810,0.710846634
6815,0.668900452
6820,0.625877571
6825,0.582286949
6830,0.539039536
6835,0.497224045
6840,0.455913963
6845,0.416168785
6850,0.379615326
6855,0.344916611
6860,0.31235426
6865,0.282883644
6870,0.255627155
6875,0.230579014
6880,0.207680798
6885,0.187212448
6890,0.168774509
6895,0.152037668
6900,0.137232142
6905,0.123729334
6910,0.11143465
6915,0.100824947
6920,0.091083107
6925,0.082336493
6930,0.074667506
6935,0.06768929
6940,0.061505518
6945,0.055863419
6950,0.050832472
6955,0.04631494
6960,0.042161212
6965,0.038550057
6970,0.035197172
6975,0.032159605
6980,0.029493592
6985,0.02703315
6990,0.024805861
6995,0.022825294
7000,0.020991287
7005,0.01934543
7010,0.017830908
7015,0.016469264
7020,0.015224298
7025,0.014075699
7030,0.013052272
7035,0.012088261
7040,0.011205249
7045,0.010418146
7050,0.009678371
7055,0.009004264
7060,0.008392884
7065,0.00782019
7070,0.007291046
7075,0.006805391
7080,0.006361545
7085,0.005951905
7090,0.005565546
7095,0.005218329
7100,0.004892046
7105,0.004579581
7110,0.004305938
7115,0.004047965
7120,0.003800247
7125,0.003579588
7130,0.003370722
7135,0.003175731
7140,0.002994129
7145,0.002825697
7150,0.002666377
7155,0.002518622
7160,0.002381256
7165,0.00225308
7170,0.002131737
7175,0.002018657
7180,0.001915232
7185,0.001814414
7190,0.001722661
7195,0.001634659
7200,0.001555704
7205,0.001476467
7210,0.001407119
7215,0.001338482
7220,0.001273633
7225,0.001215709
7230,0.001157282
7235,0.001103729
7240,0.001053203
7245,0.001005168
7250,0.000959493
7255,0.000918062
7260,0.000879355
7265,0.000841624
7270,0.000805037
7275,0.000770335
7280,0.000738908
7285,0.00070936
7290,0.000678407
7295,0.000651515
7300,0.000625173
7305,0.000600428
7310,0.000576632
7315,0.000556794
7320,0.000533054
7325,0.000512232
7330,0.000491131
7335,0.000475972
7340,0.000457233
7345,0.000441758
7350,0.000426083
7355,0.000409711
7360,0.000395015
7365,0.000382734
7370,0.000368861
7375,0.000356644
7380,0.000345129
7385,0.000332787
7390,0.000322363
